,mean_track,seasonality_track,trend_track,noise_track,outlier_track,ts_clean,ts_noise,ts_outlier_noise,ts_outlier
0,0,50.0,0,38.2518320474,0.0,50.0,88.2518320474,88.2518320474,50.0
1,0,49.6057350657,0,30.6754461591,0.0,49.6057350657,80.2811812249,80.2811812249,49.6057350657
2,0,48.4291580564,0,-22.1355381286,0.0,48.4291580564,26.2936199279,26.2936199279,48.4291580564
3,0,46.4888242944,0,-3.22895928416,0.0,46.4888242944,43.2598650103,43.2598650103,46.4888242944
4,0,43.8153340022,0,21.0962050662,0.0,43.8153340022,64.9115390684,64.9115390684,43.8153340022
5,0,40.4508497187,0,-54.1247376545,0.0,40.4508497187,-13.6738879357,-13.6738879357,40.4508497187
6,0,36.4484313711,0,-41.975075423,0.0,36.4484313711,-5.52664405197,-5.52664405197,36.4484313711
7,0,31.8711994874,0,-50.5745604916,0.0,31.8711994874,-18.7033610042,-18.7033610042,31.8711994874
8,0,26.7913397489,0,27.6735967353,-814.044643045,26.7913397489,54.4649364842,-759.57970656,-787.253303296
9,0,21.2889645783,0,33.7397868164,-406.863932435,21.2889645783,55.0287513947,-351.83518104,-385.574967857
10,0,15.4508497187,0,33.7661234005,0.0,15.4508497187,49.2169731192,49.2169731192,15.4508497187
11,0,9.36906572929,0,-8.96711328728,589.519275612,9.36906572929,0.401952442006,589.921228054,598.888341341
12,0,3.13952597647,0,-1.75281535891,0.0,3.13952597647,1.38671061755,1.38671061755,3.13952597647
13,0,-3.13952597647,0,-18.0840387406,0.0,-3.13952597647,-21.223564717,-21.223564717,-3.13952597647
14,0,-9.36906572929,0,-9.2798076186,0.0,-9.36906572929,-18.6488733479,-18.6488733479,-9.36906572929
15,0,-15.4508497187,0,-60.3413803384,0.0,-15.4508497187,-75.7922300571,-75.7922300571,-15.4508497187
16,0,-21.2889645783,0,-4.80286308885,0.0,-21.2889645783,-26.0918276671,-26.0918276671,-21.2889645783
17,0,-26.7913397489,0,-0.730586414842,0.0,-26.7913397489,-27.5219261638,-27.5219261638,-26.7913397489
18,0,-31.8711994874,0,6.23838987765,0.0,-31.8711994874,-25.6328096098,-25.6328096098,-31.8711994874
19,0,-36.4484313711,0,30.2889959264,0.0,-36.4484313711,-6.15943544471,-6.15943544471,-36.4484313711
